,dataset,FFT,ACF,SuSS,MWF,Autoperiod,RobustPeriod,ReWin
0,Adiac,22,22,22,22,22,4,1
1,ArrowHead,31,63,32,32,32,31,1
2,Beef,58,118,66,117,61,7,1
3,BeetleFly,21,258,34,112,27,22,1
4,BirdChicken,42,255,48,69,44,43,1
5,Car,18,36,24,18,18,18,1
6,CBF,32,32,36,9,32,343,1
7,Chinatown,24,24,24,8,24,24,1
8,ChlorineConcentration,20,83,36,20,21,21,1
9,CinCECGTorso,199,825,106,269,235,10,1
10,Coffee,35,36,30,9,36,4,1
11,Computers,45,44,68,45,44,45,1
12,CricketX,18,19,42,19,19,69,1
13,CricketY,18,19,34,19,19,19,1
14,CricketZ,18,112,44,19,19,323,1
15,Crop,22,46,52,23,23,12,1
16,DiatomSizeReduction,43,43,34,43,43,14,1
17,DistalPhalanxOutlineAgeGroup,10,10,20,16,10,3,1
18,DistalPhalanxTW,20,20,20,20,20,3,1
19,DodgerLoopDay,288,13,62,288,287,96,1
20,ECG200,23,48,32,24,24,12,1
21,ECGFiveDays,17,68,42,8,16,17,1
22,EOGHorizontalSignal,80,78,80,78,78,19,1
23,EOGVerticalSignal,77,78,70,78,78,20,1
24,FaceAll,10,33,40,22,10,6,1
25,FaceFour,43,349,88,85,46,44,1
26,FacesUCR,10,262,34,44,10,22,1
27,FiftyWords,33,34,38,33,34,34,1
28,Fish,28,58,30,29,29,14,1
29,FreezerRegularTrain,75,75,64,75,75,15,1
30,Ham,26,108,52,107,26,27,1
31,Herring,64,128,48,64,64,64,1
32,GunPoint,37,37,40,37,37,37,1
33,Haptics,68,68,50,68,68,17,1
34,InlineSkate,117,235,72,118,117,118,1
35,InsectWingbeatSound,16,48,26,12,16,83,1
36,ItalyPowerDemand,24,48,28,24,24,12,1
37,LargeKitchenAppliances,22,23,46,22,23,22,1
38,Lightning2,19,60,34,20,20,34,1
39,Lightning7,159,638,96,160,159,27,1
40,Mallat,42,128,38,89,41,128,1
41,Meat,27,56,44,56,56,5,1
42,MedicalImages,49,49,52,49,49,16,1
43,MelbournePedestrian,11,24,20,12,12,6,1
44,MiddlePhalanxOutlineAgeGroup,39,40,28,40,40,13,1
45,MiddlePhalanxOutlineCorrect,20,20,20,20,20,136,1
46,MiddlePhalanxTW,80,80,38,74,80,27,1
47,MoteStrain,83,251,78,83,84,16,1
48,NonInvasiveFetalECGThorax1,46,47,44,47,47,7,1
49,NonInvasiveFetalECGThorax2,46,47,40,47,47,10,1
50,OliveOil,285,285,70,270,285,26,1
51,OSULeaf,13,53,26,41,13,64,1
52,Plane,18,36,26,18,18,12,1
53,ProximalPhalanxOutlineAgeGroup,10,10,20,16,10,3,1
54,ProximalPhalanxOutlineCorrect,10,10,20,16,10,135,1
55,ProximalPhalanxTW,20,20,20,20,20,3,1
56,ShapesAll,64,128,58,69,65,64,1
57,ShapeletSim,11,641,22,194,2,100,1
58,SonyAIBORobotSurface1,35,70,42,36,33,14,1
59,SonyAIBORobotSurface2,13,130,48,31,7,32,1
60,Strawberry,14,44,22,14,15,15,1
61,SwedishLeaf,16,32,30,16,16,16,1
62,Symbols,99,100,60,99,100,33,1
63,SyntheticControl,15,15,24,15,15,160,1
64,ToeSegmentation1,26,22,40,82,24,88,1
65,ToeSegmentation2,33,68,48,36,35,34,1
66,Trace,68,69,50,68,69,34,1
67,TwoLeadECG,20,41,26,9,20,10,1
68,UMD,138,151,74,143,151,25,1
69,UWaveGestureLibraryAll,14,59,20,11,5,15,1
70,UWaveGestureLibraryX,10,10,20,11,5,35,1
71,UWaveGestureLibraryY,10,10,20,11,5,61,1
72,UWaveGestureLibraryZ,10,10,20,11,5,36,1
73,WordSynonyms,33,101,40,33,34,11,1
74,Yoga,26,107,34,43,24,18,1
